ID;Number;Day;Flavor
601;55048920805021;Wednesday;['The Pepperoni Pizza', 'The Southwest Chicken Pizza', 'The Greek Pizza', 'The Mexicana Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza']
1060;55048965368982;Thursday;['The Chicken Pesto Pizza', 'The Napolitana Pizza', 'The Sicilian Pizza', 'The Big Meat Pizza', 'The Spicy Italian Pizza']
470;55048979620977;Wednesday;['The Southwest Chicken Pizza', 'The Pepperoni Pizza', 'The Green Garden Pizza', 'The Mediterranean Pizza', 'The Vegetables + Vegetables Pizza']
1862;55048996697585;Tuesday;['The Chicken Pesto Pizza', 'The Green Garden Pizza', 'The Thai Chicken Pizza', 'The California Chicken Pizza', 'The Classic Deluxe Pizza']
804;55048947870966;Wednesday;['The Sicilian Pizza', 'The California Chicken Pizza', 'The Vegetables + Vegetables Pizza', 'The Chicken Pesto Pizza', 'The Southwest Chicken Pizza']
1469;55048949049563;Thursday;['The Barbecue Chicken Pizza', 'The Italian Supreme Pizza', 'The Chicken Pesto Pizza', 'The Pepper Salami Pizza', 'The Mexicana Pizza']
657;55048973501685;Wednesday;['The Spicy Italian Pizza', 'The Prosciutto and Arugula Pizza', 'The Five Cheese Pizza', 'The Chicken Pesto Pizza', 'The Southwest Chicken Pizza']
1077;55048920223094;Wednesday;['The Mexicana Pizza', 'The California Chicken Pizza', 'The Spicy Italian Pizza', 'The Napolitana Pizza', 'The Italian Capocollo Pizza']
734;55048951390790;Wednesday;['The Green Garden Pizza', 'The Spinach and Feta Pizza', 'The Italian Capocollo Pizza', 'The Pepper Salami Pizza', 'The Vegetables + Vegetables Pizza']
1459;55048953181375;Saturday;['The Pepper Salami Pizza', 'The Sicilian Pizza', 'The Barbecue Chicken Pizza', 'The Mexicana Pizza', 'The Spinach and Feta Pizza']
1678;55048972301053;Tuesday;['The Spinach Pesto Pizza', 'The Five Cheese Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Southwest Chicken Pizza', 'The Spicy Italian Pizza']
875;55048997548977;Tuesday;['The Pepper Salami Pizza', 'The Pepperoni, Mushroom, and Peppers Pizza', 'The Spicy Italian Pizza', 'The Big Meat Pizza', 'The California Chicken Pizza']
477;55048968010111;Saturday;['The Classic Deluxe Pizza', 'The Spinach and Feta Pizza', 'The Pepper Salami Pizza', 'The Napolitana Pizza', 'The Italian Capocollo Pizza']
